label,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12
# Recording started!
tap,-45.838757,12.581098,3.656206,4.191422,-0.064239,3.076049,-0.261226,-0.126933,-0.619731,0.914317,0.860451,1.488561,0.769676
tap,-81.747665,8.354755,5.459724,5.499313,1.176949,2.326013,1.108499,1.071688,3.541141,0.379349,1.395127,0.621777,-0.073673
tap,-67.093811,14.267994,4.354842,3.271498,-0.606001,-0.243172,0.679806,-0.574050,0.861052,0.728470,-0.310093,-0.206422,0.233627
tap,-85.036072,6.753438,3.715344,4.611542,4.218268,2.795636,2.774434,1.544314,2.450778,1.291685,0.559080,0.754232,0.199571
tap,-76.995399,13.288548,4.720343,3.344762,2.071283,0.776761,0.061231,0.510867,0.993084,-0.112544,0.433779,0.731329,-0.262064
tap,-62.481812,8.554249,2.296550,2.441112,2.532773,-0.963423,0.875551,1.726808,-0.074579,-1.128243,-0.558097,0.217686,-1.375531
tap,-80.560455,10.687564,5.277510,4.871663,3.454732,2.099560,1.196994,0.835652,0.979510,0.442989,0.550350,-0.633755,-0.439874
tap,-23.025219,1.553367,5.553416,4.438205,-0.685612,-0.728996,0.700653,1.380842,-0.418694,1.182043,0.254584,-0.061023,0.949399
tap,-83.224838,8.511916,4.719889,5.138124,3.557101,2.949048,2.363406,0.998529,2.434615,1.929684,-0.093850,0.746766,0.977769
tap,-61.427856,13.197168,5.167298,5.055335,0.903472,1.186273,0.292471,1.266891,1.257566,0.863884,0.495647,0.182782,-0.852972
tap,-84.777939,7.983985,4.850450,5.508157,3.389700,1.728250,2.273402,1.179563,1.197254,1.206475,0.266089,0.065087,0.641990
tap,-72.603516,14.613082,6.363137,3.743640,1.165479,-0.951802,-0.397697,-0.225443,1.010813,1.494720,0.477362,0.433854,0.726853
tap,-87.427643,6.236899,3.632055,5.620967,5.248348,3.114290,2.788225,1.906010,0.858937,0.384010,0.252829,0.637278,0.977907
tap,-74.529434,14.381468,6.457144,2.807182,-0.414678,-0.778880,0.221623,0.610006,1.209305,0.511430,-0.077216,0.444156,0.058001
tap,-49.789074,10.030864,6.778127,4.414322,-2.314019,0.350500,1.195148,-0.762180,-0.760859,1.179820,0.979886,-0.884433,0.134547
tap,-82.679169,10.726990,5.708942,4.980596,3.862504,1.119229,0.715089,0.694400,1.731767,1.187911,0.771401,0.653934,0.413935
tap,-31.920544,6.742611,4.266952,4.427765,-0.978305,-0.598168,0.580550,-0.584586,-0.367136,0.550734,-0.094826,-1.017138,0.605334
tap,-84.043770,9.433999,4.372605,6.028051,5.314524,2.958429,2.158064,1.045039,1.157814,-0.377326,0.402536,0.270393,0.420857
tap,-64.279526,13.959147,5.960449,4.585317,0.818436,0.172454,0.914983,1.987855,1.743306,1.201912,-0.525948,0.370705,1.707279
tap,-85.113754,8.164956,4.306560,6.045694,4.208574,1.900233,1.427142,0.569478,0.617875,1.120998,0.802679,0.635312,0.956524
tap,-67.939888,14.754334,5.307634,4.978306,1.780895,-0.103862,0.328977,-0.044047,1.366640,0.971429,-0.687382,0.202586,-0.018799
tap,-86.631195,6.774612,4.185923,5.574763,4.817936,2.544658,2.794277,1.401503,1.514003,1.150174,0.354637,0.111774,0.541079
tap,-68.506836,12.602156,5.208105,2.740841,0.726493,0.134821,-0.339206,-0.032990,-0.356587,-0.414755,-0.526160,0.301464,0.131024
tap,-86.052795,6.264658,2.641239,5.684070,5.074037,2.426327,2.364106,1.792473,0.915548,0.832426,1.026445,0.034877,0.468842
tap,-75.026031,13.580573,5.926800,4.202563,1.084581,0.248064,0.997964,0.690004,1.696776,1.504584,0.605099,0.185677,-0.390154
tap,-88.552467,4.798670,2.465567,5.056995,4.911402,2.728968,2.610044,1.980223,2.471863,1.634426,0.242765,0.015419,-0.209452
tap,-78.010986,10.758794,4.989828,4.708839,1.664714,0.346486,0.798304,0.391041,1.127804,0.427375,0.164285,0.552649,0.348866
tap,-46.588089,8.588109,1.674699,1.697135,2.168118,0.100269,-0.078431,-0.297090,-0.321606,-0.129817,-0.587958,0.140053,0.287774
tap,-80.968536,10.771975,5.397702,4.829829,3.176383,1.504983,0.971991,0.725675,0.302864,0.601086,0.324518,0.239884,0.800571
tap,-35.524406,6.300708,4.635546,3.059299,-0.069933,0.741912,-2.161575,-0.725312,0.961970,1.425457,-0.747275,-0.193634,-0.774183
tap,-82.788193,10.212216,5.037519,4.936432,3.401137,2.312823,2.176999,2.003181,1.665355,1.042274,0.300453,0.695454,0.023345
tap,-43.165768,10.344725,2.541940,4.517055,1.232258,1.208073,0.453680,0.293079,1.368511,0.854482,0.093387,-0.578502,0.055619
tap,-82.269447,10.245257,4.975711,5.237618,3.905322,0.986762,1.695294,2.148604,1.992823,1.364186,0.165175,0.776703,0.287301
tap,-61.941296,12.401352,5.856204,5.282047,0.349063,3.215876,0.404433,0.581314,0.880749,0.571626,0.537332,1.080193,0.243950
tap,-87.042526,7.025099,3.927674,6.042478,5.196312,3.801116,2.774145,1.853710,0.812839,0.681871,0.266776,0.482905,0.074629
tap,-73.864609,12.709112,5.773939,3.549134,0.514058,-0.010336,-1.466974,-0.655150,0.682960,0.240298,0.707889,1.327014,0.878755
tap,-87.003830,6.236715,2.933221,4.074647,5.383987,3.662522,2.682514,1.604982,1.184059,0.768934,0.157452,0.120079,-0.070875
tap,-73.212326,11.668516,6.347815,3.515583,-0.348056,-0.056928,-0.829896,0.113604,0.323825,0.045873,0.201041,-0.073622,0.568489
tap,-88.325760,4.692653,2.819428,4.941680,5.049282,3.577834,2.728613,1.544854,0.890410,0.958072,0.024498,0.019761,0.732335
tap,-78.656845,11.647993,5.597851,4.703339,2.345033,0.317570,0.224167,-0.176474,0.465246,1.218163,0.738250,0.294624,0.264064
tap,-88.822113,5.535239,3.684833,5.054194,4.963633,1.850562,1.598782,1.531216,1.150647,0.956317,-0.375114,0.146159,0.479122
tap,-75.926071,11.835395,5.705498,3.927250,0.968366,1.429303,1.882495,1.026356,1.984644,1.230715,-0.302331,-0.073730,0.640912
tap,-90.788483,4.235285,2.105848,4.098660,5.441289,3.409335,3.455737,2.159189,2.089771,0.900217,-0.116374,0.009676,-0.008257
tap,-81.288452,11.011498,5.391252,5.902792,3.552580,0.896415,1.226041,0.044794,0.334577,0.276346,-0.229364,0.029470,-0.148487
tap,-90.373871,4.039917,2.996157,5.170544,4.306116,3.077088,2.909340,1.994964,0.979750,0.670612,0.374810,0.995318,0.383333
tap,-78.708092,11.694806,5.451883,4.102050,2.300645,0.719111,0.098205,0.415674,1.425521,0.916507,-0.084813,0.961743,0.542103
tap,-88.398811,5.913308,2.262472,3.959990,4.557947,2.485672,2.519439,1.349085,1.014562,1.721223,1.180993,1.422193,0.211582
tap,-75.155975,13.878373,6.155939,4.009293,1.947978,0.406215,0.022287,0.531962,-0.014363,-0.141375,0.605883,1.036447,1.444283
tap,-88.438805,6.112695,3.185435,4.156686,4.334292,2.470553,3.208969,2.241109,0.910807,0.815840,0.571244,-0.144448,0.085725
tap,-77.228020,12.710621,6.852784,4.142509,1.667074,0.075587,-1.510594,-1.189417,0.694953,1.050914,-0.193128,0.662664,0.141497
tap,-86.997444,6.402865,2.715786,5.120921,4.283000,3.187246,3.471067,1.971312,1.647633,1.516712,0.120368,-0.561106,0.112025
tap,-69.444763,14.929436,5.359169,4.493114,2.512752,0.128652,0.126822,0.445441,1.323375,0.599191,-0.813540,0.847074,0.382731
tap,-87.084023,6.925639,3.687745,6.098660,5.949621,3.679450,2.928160,1.745058,1.365590,1.430757,-0.237267,-0.514800,-0.176302
tap,-62.243931,12.752971,5.059260,5.382185,1.195752,1.636900,0.304208,-0.447470,0.720147,1.024807,0.543193,0.807194,-0.647812
tap,-84.921791,8.328464,4.735870,5.556153,4.416699,1.403899,2.209921,0.972051,1.044672,0.751205,0.059089,0.690320,0.552711
tap,-60.682762,13.236836,4.990442,4.405950,2.499487,1.909200,-0.020243,0.456885,1.231260,1.049237,0.229809,1.027941,-0.192782
tap,-84.454735,8.206366,4.288952,5.004544,4.310472,3.029927,2.608007,0.600225,0.238146,0.611147,0.620408,0.565199,1.017962
tap,-56.239754,14.836166,5.060435,3.754262,1.159749,1.748372,0.285345,0.641016,-0.073700,-0.008510,0.742005,0.796502,1.504429
tap,-84.696548,9.089041,5.157268,5.497214,4.972745,2.264591,1.258498,0.146526,1.401227,0.792526,0.966342,1.300173,0.633805
tap,-48.554325,10.582969,5.585724,3.593909,-0.102200,0.253927,0.907753,0.370740,1.726159,1.287666,0.215979,0.278331,-0.169130
# DONE
# DONE
# DONE
# DONE
# DONE
